epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.844,1.12794,4.43172,1.04437,0.08142,0.22224,0.13351,0.09732,0.9243,3.90612,0.89064,8.24653e-05,8.24653e-05,8.24653e-05
2,898.926,1.04874,2.48143,1.00545,0.84057,0.3303,0.37982,0.27222,0.99527,1.39933,1.00419,0.000157592,0.000157592,0.000157592
3,1348.73,1.00986,1.3886,1.02831,0.63441,0.53507,0.56932,0.41604,0.94465,0.90811,1.04401,0.000224468,0.000224468,0.000224468
4,1796.71,0.9998,1.03872,1.02712,0.74465,0.71387,0.74835,0.55406,0.93397,0.7806,1.02466,0.000212875,0.000212875,0.000212875
5,2256.74,0.97902,0.91038,1.02146,0.81434,0.84008,0.88513,0.66132,0.91919,0.68164,1.02253,0.0002005,0.0002005,0.0002005
6,2719.65,0.96173,0.83793,1.01364,0.89228,0.87584,0.92459,0.69295,0.90903,0.62475,1.01026,0.000188125,0.000188125,0.000188125
7,3182.99,0.95219,0.78946,1.00626,0.93332,0.88423,0.946,0.70822,0.91316,0.6113,1.01411,0.00017575,0.00017575,0.00017575
8,3669.82,0.94718,0.7539,1.00463,0.93712,0.91993,0.95473,0.71849,0.90079,0.58041,1.00362,0.000163375,0.000163375,0.000163375
9,4121.89,0.94221,0.73027,0.99908,0.94802,0.92929,0.96187,0.72553,0.88891,0.5915,1.00666,0.000151,0.000151,0.000151
10,4582.07,0.93234,0.70538,0.99865,0.94426,0.94164,0.96637,0.7316,0.89557,0.55659,0.99712,0.000138625,0.000138625,0.000138625
11,5029.68,0.90206,0.64575,0.98966,0.94418,0.95721,0.97167,0.73918,0.89183,0.55268,0.99124,0.00012625,0.00012625,0.00012625
12,5470.66,0.89339,0.59176,0.98504,0.96304,0.93044,0.97057,0.73889,0.88891,0.5297,0.99274,0.000113875,0.000113875,0.000113875
13,5902.41,0.88675,0.57592,0.97867,0.96081,0.94447,0.97266,0.73811,0.88827,0.52135,0.99229,0.0001015,0.0001015,0.0001015
14,6333.95,0.87828,0.5596,0.97613,0.95721,0.95095,0.97321,0.74123,0.88418,0.51363,0.98556,8.9125e-05,8.9125e-05,8.9125e-05
15,6759.89,0.87041,0.546,0.97149,0.95733,0.96402,0.97428,0.74114,0.89144,0.50394,0.99491,7.675e-05,7.675e-05,7.675e-05
16,7180.7,0.86532,0.53677,0.96879,0.96066,0.96268,0.97786,0.7486,0.87349,0.49394,0.9833,6.4375e-05,6.4375e-05,6.4375e-05
17,7615.41,0.86216,0.53009,0.96813,0.9751,0.95528,0.98038,0.75279,0.86877,0.48607,0.9819,5.2e-05,5.2e-05,5.2e-05
18,8051.47,0.85731,0.52021,0.96643,0.97013,0.96167,0.97908,0.74468,0.89577,0.48676,0.99766,3.9625e-05,3.9625e-05,3.9625e-05
19,8477.97,0.8522,0.51591,0.96212,0.97018,0.96618,0.9809,0.7559,0.86403,0.47691,0.98104,2.725e-05,2.725e-05,2.725e-05
20,8912.19,0.84284,0.5088,0.96235,0.97375,0.96259,0.98168,0.75878,0.86301,0.4748,0.98002,1.4875e-05,1.4875e-05,1.4875e-05
