epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.817,0.72961,1.55148,0.89176,0.84872,0.80248,0.84508,0.60698,0.87898,1.77761,0.92102,0.000550522,0.000550522,0.000550522
2,753.678,0.71185,0.79064,0.88645,0.96521,0.91827,0.96967,0.77188,0.68349,0.73016,0.86859,0.000996676,0.000996676,0.000996676
3,1123.31,0.68939,0.62156,0.87885,0.96322,0.92579,0.97767,0.77844,0.73613,0.66045,0.87803,0.00133281,0.00133281,0.00133281
4,1508.31,0.67245,0.53537,0.87115,0.98175,0.95879,0.98184,0.80807,0.65062,0.48023,0.86919,0.0011719,0.0011719,0.0011719
5,1898.14,0.64203,0.469,0.86246,0.97472,0.96226,0.98492,0.81426,0.6238,0.44638,0.85468,0.00100687,0.00100687,0.00100687
6,2297.58,0.60828,0.43149,0.84672,0.98332,0.96713,0.98869,0.84007,0.56713,0.39447,0.84376,0.000841835,0.000841835,0.000841835
7,2669.09,0.57055,0.39321,0.84227,0.98722,0.97216,0.99023,0.83615,0.56839,0.37146,0.84662,0.000676802,0.000676802,0.000676802
8,3031.17,0.55758,0.368,0.83618,0.98881,0.97601,0.9897,0.85986,0.52721,0.34055,0.83506,0.000511769,0.000511769,0.000511769
9,3394.03,0.51963,0.33752,0.82829,0.98737,0.97817,0.98901,0.86498,0.51581,0.32346,0.82885,0.000346736,0.000346736,0.000346736
10,3757.1,0.49963,0.31668,0.82537,0.98922,0.97653,0.99171,0.87352,0.49726,0.30496,0.82247,0.000181703,0.000181703,0.000181703
